"dates","deaths","recovered","confirmed","tests","test_pm","time","tests_int","tests_pm_int","cumulated","index","p-values"
2020-03-01,0,1,2,56,0.00481928872117764,1,56,0.00481928872117764,0.0357142857142857,NA,NA
2020-03-02,0,1,8,337,0.0290017910542297,2,337,0.0290017910542297,0.0237388724035608,NA,NA
2020-03-03,0,1,13,813,0.0699657451842397,3,813,0.0699657451842397,0.015990159901599,NA,NA
2020-03-04,0,1,23,1445,0.124354860751816,4,1445,0.124354860751816,0.015916955017301,NA,NA
2020-03-05,0,1,50,2146,0.1846820284937,5,2146,0.1846820284937,0.0232991612301957,NA,NA
2020-03-06,0,1,109,3159,0.271859519110717,6,3159,0.271859519110717,0.0345045900601456,NA,NA
2020-03-07,0,1,169,3565,0.306799362339255,7,3565,0.306799362339255,0.0474053295932679,"4","0.350901803607214"
2020-03-08,0,1,200,3978,0.34234161665794,8,3978,0.34234161665794,0.0502765208647562,NA,NA
2020-03-09,0,1,239,4529,0.389759975325242,9,4529,0.389759975325242,0.0527710311327004,"5","0.4626"
2020-03-10,0,1,267,5269,0.453443433426518,10,5269,0.453443433426518,0.05067375213513,NA,NA
2020-03-11,3,1,314,6283,0.540706982770699,11,6283,0.540706982770699,0.0499761260544326,"6","0.456752960064218"
2020-03-12,3,1,314,7699,0.662566140434762,12,7699,0.662566140434762,0.0407845174698013,NA,NA
2020-03-13,3,1,559,10101,0.869279203082417,13,10101,0.869279203082417,0.0553410553410553,"7","0.4683925346177"
2020-03-14,4,1,689,12079,1.03950336541258,14,12079,1.03950336541258,0.0570411457902144,NA,NA
2020-03-15,4,1,886,13240,1.13941754764986,15,13240,1.13941754764986,0.0669184290030212,"8","0.351535836177474"
2020-03-16,5,1,1058,14885,1.28098415383445,16,14885,1.28098415383445,0.0710782667114545,NA,NA
2020-03-17,10,1,1243,16808,1.4464750861706,17,16808,1.4464750861706,0.0739528795811518,"9","0.291"
2020-03-18,14,31,1486,19204,1.65267179645528,18,19204,1.65267179645528,0.0773797125598834,NA,NA
2020-03-19,21,31,1795,22118,1.90344692741084,19,22118,1.90344692741084,0.0811556198571299,"10","0.070808957030462"
2020-03-20,37,1,2257,24710,2.12651114821963,20,24710,2.12651114821963,0.0913395386483205,NA,NA
2020-03-21,67,263,2815,26679,2.29596078200533,21,26679,2.29596078200533,0.10551369991379,"11","0.465065065065065"
2020-03-22,75,263,3401,27856,2.39725190387722,22,27856,2.39725190387722,0.122092188397473,NA,NA
2020-03-23,88,263,3743,30502,2.62496329595286,23,30502,2.62496329595286,0.122713264703954,"12","0.3738"
2020-03-24,122,461,4269,33809,2.90955950668384,24,33809,2.90955950668384,0.126268153450265,NA,NA
2020-03-25,178,547,4937,37439,3.22195268628875,25,37439,3.22195268628875,0.131867838350383,"13","0.454454454454454"
2020-03-26,220,675,6235,41003,3.52866598990084,26,41003,3.52866598990084,0.152062044240665,NA,NA
2020-03-27,289,858,7284,45238,3.8931246994399,27,45238,3.8931246994399,0.161015075821212,"14","0.1314"
2020-03-28,353,1063,9134,48568,4.17970026089564,28,48568,4.17970026089564,0.188066216438807,NA,NA
2020-03-29,431,1359,10836,50590,4.35371100722102,29,50590,4.35371100722102,0.214192528167622,"15","0.0118378812199037"
2020-03-30,513,1527,11899,53925,4.64071686231258,30,53925,4.64071686231258,0.220658321743162,NA,NA
2020-03-31,705,1696,12775,59381,5.11025327771874,31,59381,5.11025327771874,0.215136154662266,"16","0.25456369107322"
2020-04-01,828,2132,13964,64260,5.53013380755134,32,64260,5.53013380755134,0.217304699657641,NA,NA
2020-04-02,1011,2495,15348,69120,5.94837922156783,33,69120,5.94837922156783,0.222048611111111,NA,NA
2020-04-03,1143,2872,16770,74370,6.40018753917824,34,74370,6.40018753917824,0.225494150867285,NA,NA
2020-04-04,1283,3247,18431,78698,6.77264971034354,35,78698,6.77264971034354,0.234199090192889,NA,NA
2020-04-05,1447,3751,19691,81274,6.99433699151771,36,81274,6.99433699151771,0.242279203681374,NA,NA
2020-04-06,1632,3986,20814,85624,7.36869245468061,37,85624,7.36869245468061,0.243086050640007,NA,NA
2020-04-07,2035,4157,22194,91275,7.85501032188374,38,91275,7.85501032188374,0.243155299917831,NA,NA
2020-04-08,2240,4681,23403,97203,8.36516645651126,39,97203,8.36516645651126,0.240764173945249,NA,NA
2020-04-09,2523,5164,24983,102041,8.78151857853014,40,102041,8.78151857853014,0.244832959300673,NA,NA
